Date,Actual Price
3/30/2023,107.2
4/3/2023,105.24
4/4/2023,105.47
4/5/2023,107.4
4/6/2023,105.81
4/10/2023,106.16
4/11/2023,106.28
4/12/2023,106.34
4/13/2023,106.37
4/17/2023,106.25
4/18/2023,106.11
4/24/2023,106.1
4/25/2023,107.5
4/26/2023,106.12
4/27/2023,106.1
5/2/2023,106.06
5/3/2023,106.44
5/8/2023,106.93
5/9/2023,107.74
5/10/2023,107.33
5/11/2023,107.34
5/15/2023,107.85
5/16/2023,107.36
5/17/2023,107.35
5/18/2023,107.26
5/19/2023,107.324
5/22/2023,107.2
5/23/2023,107.79
5/24/2023,107.18
5/25/2023,107.16
5/26/2023,107.205
